USER-UPVOTES,POST_NUMBER,QUESTION,TIME-STAMPS,USER,POST,POST-UPVOTES,PAGE_NUMBER_OF_THE_POST,SUBJECT
52,3,NO,"Tue, Aug  11 '15 at 12:15PM EDT",NAFC,"JuJuBee22-- Sorry to hear that this has all happened so quickly for you. That can't be easy to manage. Especially with little ones around the house. 

We recommend seeing a specialist and talking to them about your entire health profile (other meds, etc.) and see if they have options for inclusive treatment that helps you help the other symptoms while avoiding bedwetting. 

Here's a good link: http://www.nafc.org/find-a-doctor. 

Let us know what happens!",0,1,Can Zanaflex cause sleep wetting?
4,1,YES,"Tue, Feb  9 '16 at 9:18AM EST",ajh3677,My son is 18 and will be heading to college next year. He is very concerned about coping with bed wetting while in the dorms. Any advice? He currently takes medication which helps most nights...but he still has accidents 2-3 times per month. Sometimes more when he's over-tired or stressed---which will be often in college. I'm wondering if anyone has tried an alarm? Hypnosis? I'm a worried mom and would do anything to take care of this problem for him...just looking for advice.,1,1,College Bedwetting
76,2,NO,"Tue, Feb  9 '16 at 9:22AM EST",Patrick,College admissions and dormitory management offices have long experience with students' bed wetting problems.  Contact them to make appropriate arrangements for your son.  Good luck and keep us informed.,0,1,College Bedwetting
76,3,NO,"Tue, Feb  9 '16 at 9:25AM EST",inconninmiss,"I agree with Patrick. It's been many years ago now, but that's what I did. I roomed with a guy who also had special needs, although he was not a bed wetter. The mutual support that we provided for each other was beneficial to us both.",0,1,College Bedwetting
4,4,NO,"Tue, Feb  9 '16 at 9:27AM EST",ajh3677,Thank you for your quick replies. It's reassuring to know he is not alone with this issue.,0,1,College Bedwetting
82,5,NO,"Tue, Feb  9 '16 at 10:08AM EST",NoCans,"Similar experience-When I went to College they had a special needs/requests section on the dormitory forms. He will either get paired up with someone that has the same medical issues, or get a single.",0,1,College Bedwetting
4,6,NO,"Wed, Feb  10 '16 at 2:58PM EST",PeapodMats,"Hi there,

Your son may find our waterproof incontinence mat helpful.  It's discreet and lies on top of bedding sheets. For more info, please check out our website www.peapodmats.com.  Liz",0,1,College Bedwetting
1,7,NO,"Fri, Mar  25 '16 at 12:09AM EDT",drewray,I was bed wetter until 9. Had 1 or 2 after that. Had a few my first year in college. Get him a private room. Make sure he has a change of sheets ready. What are the demographic of the school. He needs to have clean on at all time. He is going to stay up late and maybe experiment with things. I'm sure you would like that future daughter in law to have a clean bed. I used an wetting alarm is cured me. Trained me to get up in the middle of the night. I still Do.,0,1,College Bedwetting
4,8,NO,"Sat, Aug  6 '16 at 4:34PM EDT",Joey2000,"I went to a large university and made arrangements ahead of tme. I had two otheir roomies and each were wetters, 1 or 2 nights a week, but I needed to wear diapersall the time because I have no control. We got along well and are still friends to this day.",0,1,College Bedwetting
31,9,NO,"Tue, Aug  23 '16 at 10:39AM EDT",Daco4,Just for new viewers because this thread is kind of old. I managed my bedwetting with diapers and fortunately had an understanding roommate who never made any special issue out of it. I suppose the fact I had a car and he would sometimes borrow it kept him at bay.,0,1,College Bedwetting
103,10,NO,"Mon, Aug  29 '16 at 5:09PM EDT",MikeJames,"I'm 35 and wear diapers to bed now.  I hate it but I'm coming to accept it.  It's getting to feel a bit more normal to me but I'm only about a month into it.  My bedwetting has gone off the charts from 1-2 times a year to almost every night gradually over the last 6-8 months.  At this point, I became so fed up with waking up soaked and having to sleep on towels and then wash a huge load of bedding an towels most days of the week.  You know what I realized?  It's just SO MUCH EASIER to wake up and throw a wet diaper in the trash and get on with my day.  

For anyone else dealing with this, who may be new to it, I'd say if your wetting is heavy enough and often enough that a diaper might make your life easier then just consider it and get on with things.  It's not the end of the world.  It's a little weird at first and hard to get used to but it's the most practical solution I've found.  

I have OAB and the meds aren't doing much for me given the trade off for side effects.  I'm on my 3rd medication now and if this one doesn't work I'm probably just taking a break from pills.  Luckily my daytime issues are mild enough that a ""guard"" style pad gets me by.",0,1,College Bedwetting
1,1,YES,"Wed, Aug  3 '16 at 2:51PM EDT",needanswers,"My daughter has always had issues staying dry at night.  I did as well but not as frequently as she is dealing with it.  We have managed with medication (immapramine) as she was growing up, only when she had overnights or was away at camp as we were afraid medication would lose it's effectiveness.  Anyway, she leaves for college soon and I am so concerned about this causing anxiety. I hate that she has to deal with this. Has anyone dealt with this particular issue and have any advice as far as how to discreetly clean up, etc.",0,1,College freshman with incontinence
82,2,NO,"Wed, Aug  3 '16 at 4:41PM EDT",NoCans,The College should have a special needs intake form to fill out for dorm living. She can pair up with someone with similar issues.,0,1,College freshman with incontinence
43,3,NO,"Wed, Aug  3 '16 at 5:01PM EDT",Sylvia,"The only way to handle bed wetting discreetly is to wear good protection at night.  Without protection you're going to be dealing with wet sheets, clothes, mattresses.  Not to mention smell.  For about $1 a day she can be completely secure at night.  Just go to the bathroom in the morning, remove the wet one, and dispose. 

I would also recommend talking to the admissions about it as well.",1,1,College freshman with incontinence
1,4,NO,"Wed, Aug  3 '16 at 7:41PM EDT",needanswers,"Thanks for responding.  I have some Silouette's I bought and am going to approach her to try them before she leaves.  She has been adamantly against it up to this point.

I did call admissions hoping she could be matched with someone with similar issues.  But it's a very small school and they had not dealt with it before.  

I am getting waterproof everything to try to protect the bed and pads, etc.  I know for her not to be doing laundry constantly she is going to have to wear something at night.  I have always tried not to make it a big deal and do her sheets for her.  But now it's on her.",0,1,College freshman with incontinence
4,5,NO,"Wed, Aug  3 '16 at 8:59PM EDT",gbannister,"I agree, and she may night more than pullups as most are not made for overnight use.  Also,  I would talk to admissions as had been previously mentioned.",0,1,College freshman with incontinence
82,6,NO,"Thu, Aug  4 '16 at 12:42AM EDT",NoCans,"Depends lack leak guards, which makes them lackluster for night issues.

If she isn't happy about the Silhouettes, she probably isn't going to be happy with a heavy diaper style brief. I would maybe try a Tranquility Style pull up or the Tena Overnight Pull Ups with a disposable bed pad and the medication. 

I recommend disposable bed pads because the reusable ones are going to eventually smell, particularly if she is using the pull ups. Depend makes bedmats, so does Goodnites.",0,1,College freshman with incontinence
1,7,NO,"Thu, Aug  4 '16 at 6:02PM EDT",needanswers,"Thank you all so much for your responses. I'm so glad to have found a place to ask questions.

  Speaking of medication, does anyone know if immapramine loses effectiveness if used regularly?  Or maybe there is a med I'm not aware of that may help?

Again, she is not every night but goes in stages of doing great for a month or two, then going back to it every night for a few weeks, etc.  

I'm wondering if it's stress related.  We still need to be prepared either way.",0,1,College freshman with incontinence
103,8,NO,"Fri, Aug  5 '16 at 11:05AM EDT",MikeJames,"I think your daughter is going to just have to accept that she will need to wear adequate protection at night.  I am a 35 year old bedwetter and very recently had to accept the same. I imagine as hard as it is for me it's probably harder for her being in a dorm setting.  

Just be supportive.  It's not her fault, it's not ""child like"" or ""baby like"".  Rather it's responsible adult management of a medical issue.  Diapers aren't just for babies, they make them for adults for a reason.  Washing sheets all the time is a pain and unnecessary.  Focus on stressing to her the practical benefits and downplay all of the embarrassing aspects of it.  

I'm trying to convince myself of all of this too but I know it's all true.  We're just so conditioned from out toilet training days that accidents are shameful.  I think parents these days employ more positive methods of toilet training but when I was little shame was a big motivator (are you a big boy or a baby?  Wetting the bed is for babies.  Do you need to wear diapers like a baby?).  I think this sticks with us and is the source of our feelings of shame if we have continence problems as adults and also the source of the stigma around incontinence.

Good luck.",0,1,College freshman with incontinence
4,9,NO,"Sat, Aug  6 '16 at 2:36PM EDT",Joey2000,"I have wet the bed my entire life and wet during the day also. It's just a matter of using good protection that is available nowdays. The medicines for me, produced some unpleasant side effects. I have opted for the thick disposable diapers and plastic pants and use a heavy vinyl mattress protector. I carry a bag with extra diapers in the car when I am away from home for changes and use an automatic delivery system for my diapers. All my co-workers and friends know I wear diapers and this makes my life a lot easier. I wish your daughter good luck and if you need to know where to buy supplies I can furnish that information. The university is different than school when kids find out about your diapers. I had a few friends in High School and one had the same problem as me. At the university I went to, which was quite large, my dorm room had 2 other students that also wet the bed and used diapers.",0,1,College freshman with incontinence
7,10,NO,"Mon, Jan  9 '17 at 8:29PM EST",LovelyPhoenix,"Hi,I know I'm a little late to the conversation but I have been on Imipramine hcl 10mg for about 3 years now without needing to raise the dosage yet. But I will say that it's not 100% effective. I still have an occasional wet night, usually if I'm not careful about restricting liquids and using the bathroom a few times before bed. Definitely wait about an hour after taking the Imipramine to go to sleep as it seems to take a while to kick in. I know that when I was on oral contraceptives it seemed to make my wet nights occur even less so my doctor speculates that it may be hormone related as well as other things. I'm 21 and a woman and have had a similar experience as your daughter. I used to be wet every night then it would get better for a few weeks then go back to every night. You sound much more understanding than my parents ever were which is great! I definitely would say have her get some type of night time protection just in case. And maybe keep a journal for a while and see if there's any links like stress or hormonal changes i.e. her menstrual cycle those kinds of things. That will also help when it comes to talking to a doctor. I'm really happy with the overall help the Imipramine provides though. And you or she is also free to PM if you want to talk further in depth but I have no problems talking publicly as well. College is stressful so it's nice to find a way to lessen this one ""stressor"" as much as possible but sometimes its a matter of learning about your own body and accepting that it's something to live with and manage.",0,1,College freshman with incontinence
10,11,NO,"Mon, Jan  16 '17 at 8:06PM EST",Kyan27,"I'm late also however, after 5 years of university the only person who ever found out about my issue was my boyfriend.  I went on medication only in my second year of university. It is possible to have a normal university experience. I brought plenty of sheets, made sure to stick to my own bed, and I was very quick witted when anyone asked me questions about why I change my sheets so frequently.  My problem with pills during this time was that they cannot be taken with alcohol. I started taking the pills a week before my 19th birthday (legal age in my country) and did notice a change in my alcohol habits - it affected me at a greater and faster rate than it ever did before.  I realize this is silly, and that alcohol should not be taken into consideration when you're trying to fix a medical issue, however, this condition has robbed me of so much normality that I wanted to have a regular university experience.

Having a normal university experience is possible, if you are careful. I got a plastic sheet, and often changed my sheets in the middle of the night while my roommate was sleeping, and just tried to take every precaution I could.  

Good Luck",1,1,College freshman with incontinence
16,12,NO,"Sun, Mar  12 '17 at 7:57PM EDT",CPFuller,"In college I shared a studio apartment, so I told my roommate. It was no big deal for him.",0,1,College freshman with incontinence
103,13,NO,"Mon, Mar  13 '17 at 5:03PM EDT",MikeJames,wondering how this worked out....I wish people would come back and post updates.,0,1,College freshman with incontinence
1,1,YES,"Thu, May  5 '16 at 12:25AM EDT",sunflower239,"I started having symptoms when I was 18 and thought it was a UTI. After being given antibiotics by a doctor I still noticed a strong and sudden urge to go to the bathroom. 

It wasn't until my second semester when I was referred to a urologist and learned it was an issue with my nervous system and that I had urge incontinence. I remember one week where I peed myself daily and felt embarrassed before I was able to see a doctor. 

I'm taking medicine for it now which really helps so I no longer pee myself. I'm grateful that this is working, but I'm worried about what happens when I go off the medicine and am still experiencing the incontinence--and perhaps having to wear a diaper.

Also I am a tea lover, but I find that tea irritates me even though I'm on medicine. In place I've been drinking chamomile, rooibos, other herbal infusions. Anyone else have to change or stop certain foods or activities? 

I'd love to hear stories from other people in high school or college (and from other girls in particular) as I haven't met anyone who shares the issue--only a close friend who said her cousin has the same issue. 

Thank you!",0,1,college student looking for support&stories
7,2,NO,"Thu, May  5 '16 at 1:24AM EDT",PEP,"Male or female?
If female how many times do you get up at night to pass urine?
Do you get any pain in your lower abdomen?",0,1,college student looking for support&stories
58,3,NO,"Thu, May  5 '16 at 4:26PM EDT",PBJ32,"Sunflower, 

I'm sorry to hear about your difficulties. I'm glad to hear the medication seems to be working. Beware that most of the OAB meds are Anticholinergics and they have a less than stellar reputation for ""curing"" the issue. I took four different ones and none worked for me. I only got the side effects of constipation and dry mouth. Most people have found that wearing diapers or ""protection"" seems to be the lesser of all evils. There are no side effects, and they provide peace of mind for the ""just in case"" most of us don't leave the house without a diaper on and spares in a diaper bag, once again ""just in case"" we are here to support you. Let us know what we can do to help you.",0,1,college student looking for support&stories
22,4,NO,"Thu, May  5 '16 at 9:08PM EDT",matttyco,"I also suffer from a neurogenic bladder disorder, resulting from spinal cord trauma to my sacral region. It started after the work injury, which led to catheterization which was severely uncomfortable once I was back on my feet. My body doesn't accept any of the prescriptions we've tried over the years, and I've opted for pads and briefs to be honest. It's easier to maintain as long as I stay hydrated (and don't stink), but did take several years to become accustomed to. It no longer bothers me that I have to wear, and it's just another more expensive pair of underwear for me.",4,1,college student looking for support&stories
4,5,NO,"Sat, May  21 '16 at 10:08AM EDT",wkwbwz6w,"Hey!

I was on college about 5 years ago but I have been there. I only had issues with having accidents at night. I remember all too well having to quickly go to the laundry room downstairs and hope no one seems me so I could wash my things. Sometimes my friends would come into our dorm to wake me and my roomie up and I had had an accident. I would have to tell them to go get food without me or whatever just so I could get out of bed without them noticing. I am sorry you are going through this. I really don't have much advice, I just did the best I could to keep it a secret. If you ever need to talk though I understand.",0,1,college student looking for support&stories
76,6,NO,"Sat, May  21 '16 at 8:44PM EDT",inconninmiss,"Almost all colleges have programs for people with special needs. (Having such programs may even be required by law, but I'm not sure about that.) In any case, if you tell the college to which you've been admitted about your problem, they will try to find a way of accommodating your need. One likely solution would be for you to be assigned a roommate with the same problem.
I have had severe and frequent incontinence since I experienced a surgical mishap when I was 14 years old. It's been several decades since I went to university; but my problem is severe enough that I had to inform the school about it before I arrived. The roommate to whom I was assigned had another special-needs issue, but we supported each other and did well academically with each other's help.",1,1,college student looking for support&stories
10,1,YES,"Sat, Aug  12 '17 at 9:09PM EDT",greengold4,"Hello, I head back to college soon I was wondering if anybody has dealt with urinary incontinence while in college and does anyone have any tips or advice",0,1,College with incontinence
10,2,NO,"Sun, Aug  13 '17 at 9:36AM EDT",stonne168,"I started have issues when I was a junior in college.  I lived by myself that year, which made things easier.  I would wear to class and no one ever found out.  I would even change on campus, but usually found single bathrooms.  I shared an apartment my senior year but I had my own bedroom and bathroom.  My roommate or our friends never said anything.  I would buy the diapers from a medical supply store in town.  They were very friendly and I had a standing order for Attends.  Overall, college was a great experience and needing diapers didn't dampen it.

If you are in the dorms, it may be tougher to keep under wraps.  If you have a good roommate then no one else should know.  It is just important to keep the room smelling fresh and to take your wet diapers out often.  Did you have these issues last semester too or did this start during break?",0,1,College with incontinence
10,3,NO,"Sun, Aug  13 '17 at 10:36AM EDT",greengold4,I started having nighttime issues last year this summer I started having some slight daytime issues but am worried I will have an accident in class. I have an apartment with my own room and share a bathroom,0,1,College with incontinence
10,4,NO,"Wed, Aug  16 '17 at 11:49PM EDT",greengold4,Any advice on how to manage would be appreciated I'm new to dealing with this my first two years of school I didn't have any major bladder issues during the day,0,1,College with incontinence
34,5,NO,"Tue, Aug  22 '17 at 9:54PM EDT",archerstaley,"If you are a dorm student tell the colleges department for student disabilities. It may be called something else, but every school has one. Often they will accommodate you into your own room or at minimum your own private bathroom. I teach at a university and college students care about getting to class and are far too stressed out to care about someone needing diapers. If you need advocacy help, there are plenty of incontinence groups that can speak to the university on your behalf.",0,1,College with incontinence
10,6,NO,"Tue, Aug  22 '17 at 10:15PM EDT",greengold4,Luckily I live in an apartment so at least don't have to deal with that as I have my own room,0,1,College with incontinence
22,7,NO,"Wed, Aug  23 '17 at 12:19PM EDT",Mightychi,"I have a couple thoughts on this, however I have to acknowledge that i did not live through this experience myself. 

I remember reading through a similar thread a while back, it may have been on a different forum.  Incontinencesupport.org i think or something like that.  Well anyways there was a young man who was currently attending college, if i remember right he reported having bother bowel and bladder incontinence his entire life.  He describing going into college with confidence in the fact that he had to wear diapers.  He stated that he had accidents in front of other people, referenced changing his diaper and even played football with his diaper showing.  What he stated was that no one seemed to care.  They were accepting and just went along with it.

My own experience of college was drastically different then high school as well.  I didn't have these issues then. But in High school i was bullied.  Junior high and high school were miserable for me.  I have mild cerebral palsy and was a little socially delayed, so in other words i had a target on my back.
College was a completely different world.  The first thing i noticed was open and accepting people were about everything.  Everyone was focused on people treating each other respectfully and kindly, and people who would engage in bullying behavior tended to be ostracized by the group as a whole. No one seemed to be targeting anyone.  I did go to a smaller school, where there was only one dorm of about 100 people.  I was on friendly terms with all of them.  

I can't guarantee that you will have the same experience, but i am guessing that you find that people are more accepting and supportive then you would think.",0,1,College with incontinence
10,8,NO,"Wed, Aug  23 '17 at 4:08PM EDT",greengold4,I assume most people would be accepting. I would still prefer they not find out I am still trying to adjust to my issues as they evolve.,0,1,College with incontinence
76,9,NO,"Thu, Aug  24 '17 at 11:27AM EDT",inconninmiss,"I'm 75, but my incontinence problem goes back to a medical mishap when I was 14. So it's something I had to deal with in university. At the time, I was generally able to go without a daytime diaper provided that I had ready access to a bathroom whenever necessary. However, I wore a diaper while writing exams, going on car trips where it might not be possible to stop when I needed to, or at any time when a bathroom might not be available on short notice; and I always required a diaper to sleep in. 

As noted above, I handled the issue by wearing diapers whenever I thought that an accident was likely to occur. In those days, there were no disposable diapers. So I had to wear cloth diapers with plastic pants; and that required laundering the diapers a couple of times a week. High-capacity modern disposable diapers make managing incontinence much less of a hassle than it used to be.

I lived in a dormitory with a roommate while I was in university. I had told the university about my incontinence problem beforhand. They paired me with a roommate who also had medical issues, although he was rarely incontinent.",0,1,College with incontinence
4,1,YES,"Mon, Feb  20 '17 at 2:28PM EST",Lee,"Has anyone tried the Coloplast Peristeen rectal incontinence anal plug? I first learned of it about a year ago, tried to get a sample, but was told it's not been approved by FDA for use in the U.S.

A couple of days ago, I looked it up on Ebay & Amazon, and noticed sellers trying to take advantage of desperate American's. They had it listed starting close to $20.00 and on up, for just 1 anal plug. I'm thinking I had read somewhere that a box of 20 was normally around $55.00. 

I'd really love to hear back from other's who'd tried them. Like to know about their effectiveness and your thoughts on them.

Thanks,
Lee",0,1,Coloplast Peristeen rectal incontinence plug
4,2,NO,"Mon, Feb  20 '17 at 4:40PM EST",Bldarden,"Very interesting! Have not heard of this but am interested. I will look into it also.

Thanks! Betty Lynn",0,1,Coloplast Peristeen rectal incontinence plug
4,3,NO,"Mon, Feb  20 '17 at 6:10PM EST",Lee,"Coloplast Peristeen Anal/Butt plug

The Peristeen Anal plug is a simple, safe and discreet aid for faecal incontinence. It prevents the uncontrolled loss of solid stool. Because of its small size, the anal plug can easily fit into your pocket or handbag. It cannot be seen by others as it is worn inside the body.

Unpleasant odours are also avoided as the plug retains stool in the bowels.

The anal plug is inserted just like a suppository. The foam has been compressed to a small size and coated with a water-soluble film. When the film is exposed to the warmth and moisture of the rectum, it dissolves – the plug then expands, conforming to the shape of the rectal cavity. By protecting against leakage, the anal plug gives you the confidence to participate in activities where you need to feel secure, such as swimming.

Peristeen anal plug
•Is made from soft and comfortable foam that retains it softness in use.
•Comes in two sizes – small and large
•Is easily removed by pulling the soft gauze string attached to the plug
•Can be left in for up for 12 hours",1,1,Coloplast Peristeen rectal incontinence plug
4,4,NO,"Thu, Apr  13 '17 at 12:55PM EDT",Lee,"Renew Inserts - for accidental bowel leakage (abl). I just learned / came across these on the internet. For anyone who has abl, this might be an option you should explore. It's not something I could rely on, b/c my problem is not leakage, it's the entire Bowel Movement. Just like the Coloplast Peristeen rectal incontinence anal plug, they are both expensive.",0,1,Coloplast Peristeen rectal incontinence plug
85,1,YES,"Fri, Sep  30 '16 at 10:32PM EDT",Benfrank,"Hi, I just thought I would post and give some hope. I have needed diapers 24/7 for a little bit over a year and I noticed that I feel totally casual about it now I do not care if anyone knows and don't try to hide it. We can all accept this condition and go on to bigger and better things",0,1,Comfortable with diapers!
40,2,NO,"Fri, Sep  30 '16 at 10:50PM EDT",jason181,Well said benfrank iam like u now days I need them 24/7 and I doct care if anyone. Knows  its none of there  business,0,1,Comfortable with diapers!
7,3,NO,"Fri, Sep  30 '16 at 10:52PM EDT",Damp,"I'm working on it,but it isn't easy.",0,1,Comfortable with diapers!
85,4,NO,"Fri, Sep  30 '16 at 10:58PM EDT",Benfrank,"Damp, hang in there you'll get it!! It takes time. If you ever need to talk I'm here",0,1,Comfortable with diapers!
25,5,NO,"Fri, Sep  30 '16 at 11:05PM EDT",melanie,"@Benfrank Awesome you arrived at comfort. I wish i could feel that way. I feel everyone is glaring even if they are not. And you know you guys are lucky. Female clothes are much more revealing. Unless i wear full poofy skirt, which is not always practicle",0,1,Comfortable with diapers!
85,6,NO,"Fri, Sep  30 '16 at 11:09PM EDT",Benfrank,Melanie which kind of diapers do you use? Like I said it takes a while. How long have you been using them all the time?,0,1,Comfortable with diapers!
85,7,NO,"Fri, Sep  30 '16 at 11:12PM EDT",Benfrank,"Remember, no one cares about your underwear. Everyone is obsessing about their lives. If someone were to find out we're all adults. They would probably just brush it off, they might think ""I wonder why she needs them"" but they aren't going to judge. And if they were childish enough to judge how sad that they are so immature. Point is 99% of people will never know and .99% won't care or think twice about it. And for your comfort, it's just underwear. And it gives us a second lease on life. We don't need to worry about accidents which people notice and are often inconvinenced by",1,1,Comfortable with diapers!
25,8,NO,"Fri, Sep  30 '16 at 11:13PM EDT",melanie,Tena ultra briefs when i think i will need them in the day. Reassure Overnight briefs for bed. Both purchased from HDIS.,0,1,Comfortable with diapers!
82,9,NO,"Fri, Sep  30 '16 at 11:32PM EDT",NoCans,"Diapers have given me a normal life. I used to be obsessed with accidents and thought if I ended up wearing them day and night that would be rock bottom for me, but by accepting them I have gotten back to living a normal life. Melanie, I have never had anyone comment on my under-attire. If they did notice, I doubt they would say anything. But anyway, I enjoy going to the gym, seeing movies, and spending time with my significant other, which were all things that I avoided before accepting diapers.",1,1,Comfortable with diapers!
19,10,NO,"Sat, Oct  1 '16 at 12:01AM EDT",Boopa0586,"I've been wearing diapers full time for about 6mos now. And I can fully attest to what an adjustment it was to leave underwear behind. 

Although I'm not completely casual about these days,I have come to accept my wearing and am definitely more relaxed. If anything, I've learned to expect the unexpected and just go with the flow.",1,1,Comfortable with diapers!
13,11,NO,"Sat, Oct  1 '16 at 1:07AM EDT",AtlantaGuy41,"I wear a diaper 24/7 and have become comfortable enough where I don't care who finds out.  I am now at the point where I will even change out of my pants to work out shorts in the locker room at the gym with my diaper showing. 
The only differences between us and others is that our underwear is designed to hold urine so I can function normally with my life.",0,1,Comfortable with diapers!
19,12,NO,"Sat, Oct  1 '16 at 1:14AM EDT",Boopa0586,"Quote:Originally Posted by AtlantaGuy41I wear a diaper 24/7 and have become comfortable enough where I don't care who finds out.  I am now at the point where I will even change out of my pants to work out shorts in the locker room at the gym with my diaper showing. 
The only differences between us and others is that our underwear is designed to hold urine so I can function normally with my life.

That's great that you're so confident. Bravo. 

Even though I'm nowhere near that comfort level where I would fully expose my diaper like that...I have gotten used to the fact that they sometimes show due to a shirt riding up or pants sliding down a bit over the plastic. And I can easily think of a few incidents where my diaper was showing...but part of the acceptance is not to get upset. Diapers are my underwear now. I have learned to be comfortable with that fact. So whenever mine shows...I just act casual and correct it. No problem.",0,1,Comfortable with diapers!
10,13,NO,"Sat, Oct  1 '16 at 9:30AM EDT",Danman,"I'm totally with you on this. While I occasionally backslide and feel bad about needing a diaper, for the most part, it's just a minor part of my life. Diapers are simply a tool to help me lead a rich life and pursue the things that interest me.",1,1,Comfortable with diapers!
76,14,NO,"Sat, Oct  1 '16 at 11:11AM EDT",inconninmiss,"I agree. Diapers permit me to lead a normal life, doing everything that I need or want to do. Like AtlantaGuy, I also work out at a gym and change into and out of my gym clothes without worrying about the fact that my diaper is visible.",1,1,Comfortable with diapers!
16,15,NO,"Thu, Oct  6 '16 at 1:43PM EDT",sport,When I started having accidents going into diapers was a big ego letdown.I knew that was the answer so adjusted and now they are never given a 2nd thought like glasses.,1,1,Comfortable with diapers!
1,16,NO,"Fri, Oct  7 '16 at 2:32PM EDT",Billy7,"I've been wearing 24/7 for over a year now, switched insurance companies and get First Quality(Prevail) diapers instead of Medline products which was what I use to get.
They won't provide extended or overnight diapers...only ""moderate"" ones that need changing after only 1 accident, around every 2 hours!
Plus, now I have a new doctor that I have to explain my complete loss of urinary AND bowel control to!
Should I contact my insurance company to get thicker, more absorbant diapers or wait till I see this new doctor?",0,1,Comfortable with diapers!
22,17,NO,"Fri, Oct  7 '16 at 6:21PM EDT",Mightychi,"I would start with your insurance company. That way if you need anything from your doctor, they can let you know.",0,1,Comfortable with diapers!
103,18,NO,"Tue, Oct  11 '16 at 12:04PM EDT",MikeJames,"I only wear at night, but I'm getting pretty comfortable with it.  A few months ago I couldn't imagine wearing diapers to bed and the first handful of nights I felt so ashamed and ridiculous.  Now it's just become a normal part of getting ready for be.  Brush teeth, diaper on, pjs done.  Sleeping in a dry bed is so worth wearing a diaper.  

I used to dread being seen by my wife in a diaper.  I remember the first night, she wanted me to come help her with the baby like 10 mins after going to bed and putting my diaper on.  I got up, took the diaper off and went and helped her.  Now, I'll get up to help her with the baby in the middle of the night and just leave it on, crinkling my way down the hall haha.  

I've been having some leak problems lately.  I think I'm between sizes in a few brands and I might not be putting them on perfectly.  I'm hoping to avoid the added cost of using booster pads every night.",0,1,Comfortable with diapers!
1,1,YES,"Thu, Nov  19 '15 at 3:50PM EST",RapperG,Can a condom catheter be used overnight?,0,1,condom catheter - 1
76,2,NO,"Thu, Nov  19 '15 at 6:12PM EST",Patrick,"I guess it could, if the wearer is not too active while asleep, and the collection bag holds enough.",0,1,condom catheter - 1
28,3,NO,"Thu, Nov  19 '15 at 7:06PM EST",Skinnyb,"Yes, I use them when traveling quite often, or when I want to stay dry for rash healing etc.  The silicone ones stick the  best, and there is also a foam strap that is available to add some extra security if you feel the adhesive is not enough, but it really is!  A 2000 ml bag will do most people just fine.",0,1,condom catheter - 1
1,4,NO,"Thu, Nov  19 '15 at 9:42PM EST",RapperG,"Do you think it would work on my 85-year-old father?  I am just concerned that it would detach, and I'd be worse off than my current routine, which is quadruple layering at bedtime consisting of:
Tranquility TopLiner Booster Super-Plus Contour flow-through pad of capacity 27.5 oz
inside of a less-expensive locally purchased pad with a moisture-proof green backing
inside of a standard Depends, to hold things in place
and the outer layer is a Large/X-Large violet-colored Molicare diaper No 3, with three Tena Protective Guards #2: one on each side of the front of the diaper at the outside edges of the absorbent material, and one on the back of the diaper at the edge of the absorbent material on his right side, as he sleeps on his right side the most.
I have to get him up after 6 hours max to go pee, then layer him back up.
There is no adult diaper or any other product that on its own will keep his bedding dry.  The absorbent material on the front and back of every diaper I have tried or have seen online does not extend far enough out into the tabs.  No liner or pad, no matter how many ounces it can absorb, can contain all of the urine he passes in his sleep, because the absorbent material on the back of the body at the top of products cannot absorb its share of fluid.  The fronts of the two innermost layers get maxed out, then the urine flows out the sides.  So the 27.5 oz TopLiner works in the front, fluid flows through to the next layer, and then out the sides into the 'wings' (Tena Guards) that I stick on the diaper, and sometimes into the diaper itself.  The material on his backside is always dry for several inches down from the waist.  It isn't rocket science.  It's just very basic physics.",0,1,condom catheter - 1
28,5,NO,"Fri, Nov  20 '15 at 12:23AM EST",Skinnyb,"Sizing is EVERYTHING in external catheters.  If you get one of each size, ir if you can measure in mm, they come in a variety, from 25, 28, 30, 31, 35.  Small is 25, medium to average is between 28-31, large is 35.  Mentor or Coloplast are good in the silicone, Coloplast can send you samples, including leg and bedside bags for at night.  Once applied, (I add a skin prep to aid adhesion (spray or swab from 3M), they are VERY secure.  Lots of companies send samples, Hollister is another one.",0,1,condom catheter - 1
76,6,NO,"Fri, Nov  20 '15 at 1:39PM EST",Patrick,"RapperG,

When I sleep at home, I wear washables and plastic pants at night.  Granted that a useful inventory of washables can be expensive; however, if you're using that many disposables every night, a small supply of washables would soon pay for itself.",0,1,condom catheter - 1
85,1,YES,"Sun, Aug  14 '16 at 11:58AM EDT",Benfrank,"Hi, I was just wondering if any men have tried a condom catheter as an alternative to diapers? If so what do you think? What did you like and dislike and how did it compare?",0,1,Condom Catheter - 2
13,2,NO,"Sun, Aug  14 '16 at 12:14PM EDT",AtlantaGuy41,"I do not recommend them based on my experience.  I ended up with skin breakdown and infection.  Send me a private message and I can tell you what the aftermath and recovery were like.  

Besudes that the bag was very clumsy and does not work well if you are even semi active. If you void all at once the condom catheter cannot keep up with the load and you can end up with a huge volume of leakage",0,1,Condom Catheter - 2
